sepal_length,sepal_width,petal_length,petal_width,species
5.016672237666617,3.3837198863001037,1.2942574780628084,0.19967271619232121,setosa
5.260688238319304,3.653516495892511,1.3296252997401223,0.3594584498429525,setosa
5.052759694767743,3.523285155862425,1.4558038819210086,0.4196702850708825,setosa
5.088864941326481,3.395954425534665,1.3890857949560822,0.10527458296044188,setosa
5.107606852292804,3.5029707656326785,1.4577500206226026,0.2953478996908842,setosa
5.190861127224182,3.598939333315868,1.5129262080497679,0.28707909489593264,setosa
5.349101030939311,3.5946595886659987,1.49455859988481,0.37836352574122734,setosa
5.066892892287762,3.626516511913663,1.3821403914948114,0.17070243088728215,setosa
5.16066493826755,3.5539576189286795,1.3596802438626852,0.005577085514895275,setosa
5.269408496012871,3.3989703032535754,1.291088417143353,0.26349766151570175,setosa
6.911943773551307,3.2105415499760936,4.792097085605703,1.3098702261672872,versicolor
6.956655608224299,3.1423965725887872,4.863504472657392,1.5758719078804604,versicolor
6.964737152405041,3.117241658065017,4.617594202498233,1.413934614823686,versicolor
6.943648975680178,3.1468921991536645,4.871868107603913,1.551493033928757,versicolor
6.896011171742078,3.0316905992772893,4.578939170303351,1.4617435409285513,versicolor
6.993103867087451,3.1442788631879615,4.570523476022131,1.401821280925006,versicolor
6.870423311735489,3.174478670373322,4.749285188703806,1.4632111089009758,versicolor
6.928896181059191,3.3503995150880406,4.702778355487256,1.543329298510622,versicolor
6.886794848171347,3.084957698923806,4.670677033836658,1.463459272176631,versicolor
7.088457642342557,3.1970687524849986,4.678679880306877,1.4065785904555843,versicolor
6.326761675835764,3.300506369002998,5.941008111719751,2.6222921124616745,virginica
6.432913372626864,3.2943815079323064,5.9376699409725076,2.4012492594117605,virginica
6.204951129966544,3.2916232184981076,6.009802004918499,2.4465303340470363,virginica
6.2489898890622,3.314530735775088,5.911721659759913,2.509267420167348,virginica
6.181928273275448,3.3191629944660814,6.037310499030609,2.532746901454101,virginica
6.17612689931519,3.2787532063990157,6.1069901206181845,2.6601587631111863,virginica
6.410050441789548,3.3626007740389787,5.941271637588342,2.4339845907537487,virginica
6.275597320885382,3.3670416547085424,5.89012675339649,2.418085470267125,virginica
6.528979444062807,3.1789938680227325,6.192891535928196,2.4189116498065473,virginica
6.420793626593593,3.2360329726748556,5.899407439932052,2.438488619445635,virginica
